Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,year
205,Tonga,4,4,11,0,2.75,17,2013
206,Timor-Leste,4,3,12,2,3,9,2013
207,Andorra,3,2,18,1,6,14,2013
208,Saint Vincent and the Grenadines,3,3,3,0,1,5,2013
209,Northern Mariana Islands,2,2,6,2,3,6,2013
210,Nauru,2,2,9,3,4.5,5,2013
211,Mayotte,2,1,0,0,0,7,2013
212,Falkland Islands (Malvinas),2,2,29,0,14.5,7,2013
213,Saint Lucia,2,1,0,0,0,8,2013
214,Vatican City State,1,1,2,0,2,2,2013
215,Turkmenistan,1,1,0,0,0,6,2013
216,South Georgia and the South Sandwich Islands,1,1,1,0,1,1,2013
217,Turks and Caicos Islands,1,1,8,1,8,2,2013
218,Sao Tome and Principe,1,1,1,0,1,13,2013
219,Norfolk Island,1,1,9,0,9,4,2013
220,Wallis and Futuna,1,1,1,0,1,4,2013
221,Cook Islands,1,1,2,0,2,5,2013
